class_label,img_path,post_text
enchente,dataset\enchente\2939a3a08b89b0b3b1d00b7b22e1e777.jpg,"Porto Alegre vive um colapso nunca visto.   Na tarde desta segunda (7), a enchente avançou para o Bairro Menino Deus e Cidade Baixa, local boêmio da cidade. Ambos bairros centrais com muitos prédios de moradia.   O Prefeito de Porto Alegre, Sebastião Melo, em comunicados confusos que necessitaram de retratação, indicou uma evacuação imediata das duas localidades.  Com a água tomando as ruas, resgates começaram a acontecer enquanto o trânsito se tornou um caos. Com pessoas tentando fugir, com malas e pets, enquanto socorristas tentavam chegar. Buzina e sirenes para todo lado. Congestionamentos.  São milhares de pessoas deslocadas de suas casas de forma emergencial nos últimos dias.  No amanhecer de hoje, a água segue avançando nos dois bairros e diversas pessoas acompanham das suas janelas a enchente chegar na porta do seu prédio.  A água pode não invadir o seu andar, mas moradores ainda não estão se dando conta que em breve precisarão de socorro. A região está sem abastecimento de água e de luz, assim como diversos outras regiões da cidade. As previsões variam de quando a enchente retrocederá. Não há previsão sobre quando os serviços serão restabelecidos.   Alass Derivas | @derivajornalismo  11h13 7 de maio de 2024  Porto Alegre"
enchente,dataset\enchente\2f4bf139724c7243e41fd133c2899f92.jpg,AGORA | Três Coroas sob enchente significativa do Rio Paranhana. Inundação chega a cobrir os automóveis nas ruas.  DATA: 16/06/2024
enchente,dataset\enchente\13ebf010c91b7183900d85b7984c094f.jpg,"83 anos depois da enchente de 1941: tudo se repete. Olha que curioso, no dia 02 de maio de 1941 as águas começaram a subir de forma ameaçadora e em 8 de maio alcançaram 4,76 metros. Hoje, 05 de maio de 2024 as águas alcançam assustadora marca de 5,29 metros em Porto Alegre. Moramos no centro histórico e o cenário é de guerra, calamidade absoluta.  O caos instalado. O piso borbulha sem ter boeiro O sentimento nas ruas é impressionante. Essas fotos e vídeos foram de ontem, hoje está pior. Neste domingo fez sol. Amanhã fará sol. Quarta chove. A vida é perecível demais. O que o ser humano fez com a natureza é o caos que estamos vivendo. Triste demais. Não deixar os animais para trás! Sigamos com fé de que nos reegueremos. Se cuidem!"
enchente,dataset\enchente\fb94aa573bc947474644a47cde61d896.jpg,Resquícios do nosso centro após enchente de 2024 Precisou vir bombas de sucção poderosas de são Paulo pra poder tirar a água das.ruas...—  me siento esperanzado en  Centro Histórico de Porto Alegre .
enchente,dataset\enchente\dea1189f36ba7a09e8f86d1d3b985ace.jpg,"TRAGÉDIA EM CANOAS | Após água baixar, cenário de destruição toma conta de rua. CLIQUE NO LINK E SAIBA MAIS: https://agenciagbc.com/.../enchente-em-canoas-apos-agua.../ #reels #enchente #riograndedosul"
enchente,dataset\enchente\b17e34b5ccb1d58ce21272392119e930.jpg,"Quer saber como ficou o bairro Cidade Baixa com as chuvas do RS? Acompanhe a reportagem de @belomauro  Após a enchente que atingiu o Rio Grande do Sul, o bairro mais boêmio de Porto Alegre, Cidade Baixa, ficou com muitas ruas alagadas. Veja como está a situação nesta segunda-feira, dia 13 de maio de 2024, quando o nível do Guaíba deve passar de 5,5m."
enchente,dataset\enchente\0edd8fbf9622aab898572b65dfc3ccb6.jpg,"O BEBÊ É NOSSO SOL Fabrício Carpinejar  É proibido rir no Rio Grande do Sul, devido ao pesar pela meia centena de mortes até então e pelas dezenas de desaparecidos.  Mas eu tenho um distúrbio. E muitos são como eu. Em situações de extremo nervosismo, começo a rir. As lágrimas já não fazem efeito, tal remédio que se mostra fraco pelo uso constante.  Eu choro pelo riso. Choro borbotões pelo riso.  Não é deboche, mas angústia, atrapalhação, sinal de esgotamento, não saber mais o que fazer, não saber mais como me comportar, não saber mais o que dizer, ficar absolutamente sem graça diante de incomensurável tristeza pela maior catástrofe natural da história gaúcha. O riso despista o que estou sentindo, é totalmente incoerente com as emoções mais profundas de raiva e revolta. Não se fie pela aparência, nem sempre significa felicidade: é o mal-estar da ansiedade. É uma luta, uma fuga, um modo de eu mesmo me consolar. Talvez esteja procurando inibir a produção de hormônios de estresse, mas não é um riso bom. É um riso que dói, um riso que tenta nos imaginar num futuro melhor, já refeitos e reconstruídos, lembrando-nos dessa enchente como um passado distante.  Assim como meu riso, Porto Alegre não está bonita com as ruas alagadas, não virou uma Veneza pela invasão das águas. É só desamparo, abandono, solidão. Os botes que circulam pelo Mercado Público não são gôndolas românticas, é nossa gente acudindo nossa gente.  O Guaíba ultrapassou inacreditáveis cinco metros (a marca histórica de 1941 era de 4,76m), e não para de crescer. Rezamos para que não ultrapasse os seis metros do Muro da Mauá.  Nunca olhamos tanto para o horizonte em busca de um sol. Que seja minúsculo, que seja do tamanho de uma bola de futebol, de um pião, de um alfinete. Qualquer luz que rivalize com essa chuva contínua, insistente, perversa.  Desejamos aquele raio solar, antes tão habitual, agora com status de cometa, de eclipse, fenômenos raros e extraordinários.  Ele não vem, mas em seu lugar, no céu, há milagres acontecendo: há um bebê voando, uma criança de dois aninhos salva pelo Exército de um telhado, em Bom Retiro do Sul.  Resgatada corajosamente pelo segundo sargento Andrwis Victor Nunes, que é pai de uma menina da mesma idade, ela não está assustada com as alturas, parece rir com os olhos ao sobrevoar sua cidade no Vale do Taquari, de helicóptero.  Ela paira acima dos problemas, da cheia, do caos, do desespero, ao encontro do colo de sua família finalmente segura. O bebê é o nosso sol, o nosso futuro, a nossa esperança. Minha coluna no jornal Zero Hora,  GZH , última página, Porto Alegre (RS), 4/5/2024: https://gauchazh.clicrbs.com.br/.../o-bebe-e-o-nosso-sol..."
enchente,dataset\enchente\906598bbe9fbd00ddecca906d6a5c6fb.jpg,"A cidade de Canoas (r/s  20 km de Porto Alegre) vive um cenário de caos neste sábado ,(04 -2024) com inundações em toda a parte oeste da cidade ,famílias  aguardando resgate  nos telhados de suas casas, nas ruas , hospitais totalmente inundados e uma estimativa de  cerca de 150 mil atingidos pelas chuvas dos últimos dias. A situação é caótica"
enchente,dataset\enchente\c85bd6374066e4c3109a374259b29939.jpg,"PORTO ALEGRE, UMA ZONA DE GUERRA  A MetSul Meteorologia conta a história do dia 4 de maio de 2024 em Porto Alegre com depoimentos e imagens do que testemunhou nas ruas  Por: Metsul Meteorologia  Fogo e fumaça em meio às inundações após explosão em posto de combustível na Avenida Cairu que deixou duas pessoas feridas durante os resgates no Quarto Distrito | CARLOS FABAL/AFP/METSUL METEOROLOGIA  Não havia bombas ou mísseis atingindo as cidades, mas o que se testemunhou neste sábado em Porto Alegre e outras cidades da região metropolitana lembrou cenas de uma zona de guerra, no que muito possivelmente tenha sido o dia mais dramático já vivido pela Grande Porto Alegre. O Guaíba não parou de subir ao longo do dia e pela primeira vez na história ultrapassou a marca de 5 metros. No começo da noite de sábado, de acordo com informações da Defesa Civil do Rio Grande do Sul, o nível era de 5,27 metros.  Praticamente todas as cidades da Grande Porto Alegre estavam convulsionadas com inundações catastróficas, moradores apelando por resgates nos telhados de suas casas, pessoas buscando refúgio em viadutos e outros locais elevados, um ritmo frenético de embarcações realizando resgates e os voos constantes de helicópteros cruzando o céu da capital gaúcha.  Nas ruas e avenidas da cidade, o tráfego de veículos de emergência era constante. A todos momento podiam ser vistas viaturas da EPTC, Brigada Militar, Guarda Municipal e Corpo de Bombeiros. Somavam-se aos esforços integrantes da Polícia Civil e até da Polícia Federal, além de militares do Exército, Marinha e Aeronáutica.  A população está em choque com a magnitude da catástrofe que prossegue e tende a continuar por dias. Por onde se anda, o assunto são as enchentes.  À medida que cresce o tamanho do desastre, cresce a corrente de solidariedade com centenas de iniciativas da sociedade para acolher desabrigados e oferecer ajuda. Clubes sociais e igrejas abriram suas portas para acolher os desabrigados.  Em Porto Alegre, as águas tomaram as partes baixas do Centro Histórico. Ruas, onde em um sábado normal haveria carros e um formigueiro humano de pessoas nas lojas e no Mercado Público, hoje estavam desertas com água por todos os lados.  Repetindo as cenas de 1941, barcos eram vistos navegando na Avenida Borges de Medeiros entre o Paço Municipal e o Mercado. Barcos em plena Avenida Borges de Medeiros | FERNANDO OLIVEIRA  Porto Alegre está cercada pelas águas. A única forma de entrar e sair da cidade é pela zona Leste, na RS-040, que leva ao Litoral Norte. Todos os demais pontos que ligam a cidade ao restante do estado, Brasil e países vizinhos, como a BR-290 e BR-116, estavam fechados devido à enchente. Nem pelo ar é possível chegar ou sair de Porto Alegre pela aviação comercial.  Com as atividades suspensas por tempo indeterminado desde a sexta-feira, o agravamento da enchente acabou por inundar grande parte do perímetro do Aeroporto Internacional Salgado Filho, Imagens aéreas mostravam as águas do Guaíba cobrindo a pista e os gramados ao redor.  Acesso ao Aeroporto completamente alagado | JONATHAS COSTA/CORREIO DO POVO  Inundação do Guaíba atingiu a pista do Aeroporto de Porto Alegre | REPRODUÇÃO  Pátio do Aeroporto Salgado Filho não escapou da enchente | JONATHAS COSTA/CORREIO DO POVO  Com o aumento do nível do Guaíba, o número de áreas inundadas aumentou durante o sábado. Onde o Guaíba já havia chegado na sexta, a inundação tomou proporção ainda maior. Bairros do Sul da capital, Menino Deus, Praia de Belas, Centro Histórico, Quarto Distrito e Sarandi estavam com muitos pontos alados e vários com setores de inundação severa em que era possível transitar apenas usando embarcações.  Guaíba inunda a Avenida São Pedro | ALEXANDRE AGUIAR/METSUL METEOROLOGIA  Avenida Ceará ficou tomada pelo Guaíba da entrada da cidade até a Avenida São Pedro com altura de um metro de água em alguns trechos | GIULAN SERAFIM/PMPA  Júlio de Castilhos inundada pelo Guaíba no Centro | JULIO FERREIRA/PMPA  Áreas entre a Voluntários da Pátria e Júlio de Castilhos passaram a ser ocupadas por barcos em meio à grande enchente do Guaíba | JULIO FERREIRA/PMPA  Guaíba na Avenida Farrapos | CARLOS FABAL/AFP/METSUL METEOROLOGIA  Guaíba tomou o bairro Navegantes | CARLOS FABAL/AFP/METSUL METEOROLOGIA  Gramado da Arena do Grêmio inundado com o Guaíba | REPRODUÇÃO  Souza Reis, que leva ao aeroporto, tomada pelo Guaíba | RICHARD DUCKER  Em diferentes pontos, as cenas pelas ruas da cidade. Bairro inteiros tiveram que ser evacuados com os moradores percorrer as águas por longas distâncias. No Humaitá, o relato dos moradores é que, em determinados pontos da zona Norte, a água do Guaíba chega a atingir a altura do peito de um adulto. Imagens aéreas mostram shopping Praia de Belas ilhado. O colapso da capital levou à evacuação de parte do Hospital Mãe de Deus, cercado pelas águas no bairro Menino Deus. Veículos do Exército resgaram pacientes e funcionários do hospital. Os apelos se sucediam sobre a população somente buscar atendimento em casos de gravidade, uma vez que os serviços de saúde estavam sobrecarregados com feridos e pessoas sofrendo de hipotermia depois de serem resgatadas. Transporte de oxigênio via helicóptero foi feito para os hospitais Vila Nova e Restinga, no Sul. São Lucas e Criança Conceição também demandaram o insumo.  RITMO FRENÉTICO DE RESGATES  Em vários bairros de Porto Alegre, o sábado foi marcado por um ritmo frenético de resgates. A MetSul Meteorologia estava nas ruas para registrar os esforços para salvar vidas e testemunhou na zona Norte momentos dramáticos de famílias inteiras deixando suas casas com água até a cintura e sendo resgatadas com botes, jipes e barcos. Moradores resgatados na Avenida Cairu. Embora a presença de um grande contingente de forças públicas, especialmente de bombeiros e da Brigada Militar, a maioria dos resgates era conduzido por voluntários. Grande número de jipeiros a todo momento iam e voltavam pelas avenidas Cairu e Brasil, trazendo moradores.  No mesmo local, no viaduto José Eduardo Utzig, pessoas não paravam de chegar pela Rua Pereira Franco, completamente inundada. A pé, com meio metro de água, ou com ajuda de barcos, a todo momento famílias inteiras alcançavam o viaduto carregando uma mochila nas costas ou uma mala sobre as cabeças. Moradores da zona Norte caminharam quilômetros em busca de segurança do avanço das águas. Eram moradores de vários bairros da zona Norte que foram tomados pelo Guaíba, como Navegantes, Humaitá, Vila Farrapos e São João que caminharam quilômetros nas águas sujas da enchente até alcançar terra firme. O viaduto de acesso à Terceira Perimetral se transformou em um abrigo a céu aberto. Famílias improvisaram tendas para permanecer em terreno alto. Havia muitas crianças e animais domésticos, trazidos pelos moradores da zona Norte que tiveram de deixar as suas casas.  EXPLOSÃO E FOGO EM MEIO AOS RESGATES  Os resgates ocorriam na Avenida Cairu quando de repente houve uma explosão seguida de incêndio em um posto de combustíveis. Estávamos a poucas dezenas de metros do posto, na Avenida Brasil, filmando e transmitindo pelas nossas redes sociais da MetSul os resgates, quando se ouviu um estouro e uma grande quantidade de fumaça preta começou a se levantar no céu. Os momentos que se seguiram foram de caos e pânico.  Os resgates que ocorriam na Avenida Cairu com aparelhos de jet ski, veículos anfíbios e jipes tiveram que ser interrompidos. Aos gritos, policiais e bombeiros apelavam para os curiosos se afastassem ante o risco de novas explosões. Em um momento dramático, dois homens que estavam no posto foram resgatados com queimaduras pelo corpo. Dois homens feridos no incêndio e com queimaduras pelo corpo são resgatados por policias e voluntários que minutos antes resgatavam as vítimas da enchente. De acordo com o Corpo de Bombeiros, a explosão teria ocorrido em um gerador de energia. O posto estava inundado. Os feridos foram levados para o Hospital de Pronto Socorro e Hospital Cristo Redentor e estavam em estado grave. Conceição relata que a vítima do incêndio levada para o Cristo Redentor está internada na Unidade de terapia intensiva (UTI).  ÁGUAS VENCEM DIQUE NA ZONA NORTE  O Dique do Sarandi, que rompeu em 2013, é um dos pontos mais críticos da cidade. A população das comunidades da Asa Branca, Minuano, Vila Elizabeth e Nova Brasília foram orientadas a deixar suas casas. Apesar do esforço de contenção, a água começou a extravasar sobre o dique, o que fez com que as águas invadissem a Avenida Assis Brasil e agravasse ainda mais a inundação na zona Norte da capital. Moradores atingidos pela enchente na zona Norte de Porto Alegre, na área do Sarandi, estão sendo resgatados com apoio do Exército e do Corpo de Bombeiros.  SEM LUZ E SEM ÁGUA  Vários bairros de Porto Alegre estão sem energia elétrica porque a luz foi cortada por razões de segurança em consequência das inundações. Além disso, grande parte da capital enfrenta falta de água. A prefeitura apelou à população que racione água. Com a elevação no nível do Guaíba a mais de cinco metros, quatro das seis estações de tratamento do Departamento Municipal de Água e Esgotos (Dmae) estão inoperantes.  ABRIGOS EM VÁRIOS PONTOS E SEGURANÇA CONTRA SAQUES  A Prefeitura de Porto Alegre, com auxílio de parceiros, trabalha para abrir novas vagas em abrigos provisórios e atender as pessoas atingidas pela enchente. O número de locais em operação passou de oito, pela manhã, para quinze, no início da noite deste sábado, 4.  A Secretaria Municipal de Segurança disponibilizou barcos à Guarda Municipal para que a corporação retomasse os patrulhamentos preventivos no Centro Histórico. O objetivo é evitar furtos e roubos, em especial aos estabelecimentos comerciais fechados pelo alagamento. A mobilização visa, também, a proteção dos prédios públicos localizados no bairro. As rondas da Guarda Municipal acontecem de forma integrada com as demais forças de segurança, como Brigada Militar e Polícia Civil. Os agentes da corporação atuam, ainda, no resgate aos moradores da área.  #riograndenoticiasatuais  #elderfilhocosta  #news  #jornalismo  #Noticias  #jornal  #chuvas #RS"
enchente,dataset\enchente\c2d19c583c0c2f6b1f22c070179e587a.jpg,Chuvas na Espanha matam dezenas Chuva que costuma cair em um ano atingiu em poucas horas cidades do Sudeste da Espanha. Ao menos 62 pessoas morreram nas inundações provocadas pelas chuvas torrenciais na região de Valência. As chuvas históricas provocaram imagens impactantes de torrentes de água e uma enchente catastrófica devastando ruas e arrastando automóveis.
enchente,dataset\enchente\c52737bfd864081ad0ac2c5514796684.jpg,"DESASTRE | Rua em Alfafar, região de Valência, na Espanha. Correnteza da inundação catastrófica arrastou e empilhou milhares de carros em cidades da região. Há mais de 60 mortos. Saiba mais em https://metsul.com/2024-10-30-chuva-valencia-espanha-dana/.   Redes sociais"
enchente,dataset\enchente\8eb694c99c83414be767326476b57b57.jpg,"ENCHENTE: Atingidos terão isenção nos impostos Projeto de lei vai ser votado hoje na Câmara e concede isenção de IPTU e Taxa de Coleta de Lixo para imóveis afetados pelas inundações de maio de  2024 A Prefeitura de Cachoeirinha, por meio da Câmara Municipal, apresenta na sessão desta noite, 11,  o Projeto de Lei Nº 5022, que concede isenção dos impostos referente ao Imposto Predial e Territorial Urbano (IPTU) e à Taxa de Coleta de Lixo (TCL) para os imóveis localizados nas áreas afetadas pelas inundações de 2024. A medida abrange os encargos do exercício de 2025 e irá beneficiar imóveis localizados em 101 ruas das áreas atingidas pelas enchentes. Conforme o Prefeito Cristian, o objetivo da lei é oferecer alívio financeiro às famílias e proprietários de imóveis afetados, minimizando o prejuízo causado pela calamidade, auxiliando na recuperação das áreas atingidas. “A isenção é automática, ou seja, os cidadãos não precisam fazer nenhum requerimento”, explicou o prefeito. Para os imóveis que já tiverem quitado parcial ou integralmente o valor do tributo referente a 2025, será gerado um crédito, que poderá ser utilizado para quitar eventuais dívidas ativas existentes e será compensado com os tributos de 2026. Conforme a Secretaria da Fazenda (SMF), nos casos em que o imóvel não constar no relatório da Defesa Civil, o proprietário poderá solicitar uma análise específica. Para isso, será necessário apresentar um requerimento, que será avaliado pela Defesa Civil e pela SMF. “A medida também reflete o compromisso da administração municipal com a reestruturação da cidade, promovendo um suporte direto àqueles que mais necessitam e contribuindo para a recuperação das áreas afetadas”, finaliza o prefeito."
enchente,dataset\enchente\2085f7978d52b94354aa26de3fba80e4.jpg,"Previsão do tempo para outono  Como menciono desde o ano passado, a possibilidade de ciclones extra tropicais de grande intensidade, granizo e tornados, (ventos fortes) , vem se concretizando. Não imagino enchente, inundações naquela proporção, mas alagamentos nas ruas mais baixas como vimos na enchente de 2023 e 2024, essas teremos, pois o sistema de drenagens está obstruído (tubulações entupidas). Se não fizerem um mutirão de manutenção e limpeza das tubulações de fora a fora, não apenas bueiros, é certo que vai dá merda ! Basta chuva de 40 a 50 mm em poucas horas para o centro colapsar, e olha que para outono e inverno esses números não são nada longe da realidade, pode até ultrapassar e o dobro ! Tô só aguardando os vídeos   de ruas com água nas portas das casas."
enchente,dataset\enchente\96a78637be3ac75f9a666573dfbf3eb8.jpg,"Atualização, 6/5: o sistema antienchente não está dando conta do volume de água, sem contar que o Guaíba chegou a 5,3m e o muro da Mauá tem 6m. Lembro de, na adolescência, ser uma das tantas pessoas favoráveis a se derrubar o muro da Mauá, em Porto Alegre, para que se pudesse ver o rio. O muro foi criado para conter inundações, tendo como parâmetro a terrível enchente de 1941, e ficou pronto em 1974. Nos 28 anos que morei na minha cidade natal, nunca houve uma enchente que justificasse o fechamento das comportas. Nos últimos anos, com as mudanças climáticas, tem sido recorrente o fechamento. (Agradeço a quem, desde sempre, garantiu a permanência do muro.) Hoje, é ele que está contendo o rio Guaíba, que já atingiu 4,2 metros - meio metro a menos que o registrado na terrível enchente de 1941 e o nível mais alto computado desde então. E, mesmo assim, a água está refluindo pela rede pluvial e inundando algumas ruas do centro. Meus pais, minha irmã, minha sogra, meu cunhado, meus tios e vários amigos moram em Porto Alegre e região. Força! Que a chuva que está prevista para hoje à tarde não piore ainda mais a situação. (Lembrando que o Estado foi avisado avisado 5 dias antes que haveria chuva intensa na região e o inepto do governador não fez nada.)"
enchente,dataset\enchente\227ab4c65b147a1058a90d2e226b7186.jpg,"Hoje o Bastidores do Poder é apresentado direto das ruas atingidas pelas enchentes das últimas horas na Grande São Paulo. O Pedro Campos gravou esse vídeo na Rua Anny, na região do Sacomã, na cidade de São Paulo. Ele está junto com a Thays Freitas conversando com os moradores atingidos pela água. O corpo de Bombeiros registrou mais de 700 chamados de enchentes até agora."
